version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,802.1827429,138.5467344,578.9979434549559
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,419.5056727,88.8098581,472.36385878202407
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,340.0232423,67.7193615,502.1063913900015
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,652.9703553,89.3197211,731.0483589273099
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,12.0443412,11.574896,104.05571851358317
8.0.100-alpha.1.23062.10,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,163.0701322,161.4100931,101.02846053063827
8.0.100-alpha.1.23062.10,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,94.5281967,96.5446422,97.91138539223878
8.0.100-alpha.1.23062.10,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,85.3247134,81.1438195,105.15244897980183
8.0.100-alpha.1.23062.10,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,13.8320231,13.0286098,106.1665312902379
8.0.100-alpha.1.23062.10,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,10.2525222,10.0163343,102.35802732742256
8.0.100-alpha.1.23062.10,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,623.3227061,119.7008023,520.7339417306479
8.0.100-alpha.1.23062.10,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,326.7264731,73.9199574,442.0003536149224
